what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838492475
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246838505356
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838505678
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838508221
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838511476
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838514821
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838514886
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838531334
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246838531526
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246838563159
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246838570714
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246838639990
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246838640802
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246838713418
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246838714448
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246838723709
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246838724936
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1246838755514
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246838762302
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838825385
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838888744
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246838902882
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838911321
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838916313
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246838925094
