what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930246796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930247872
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1246930467692
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246930489454
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930494011
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930500236
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1246930502093
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246930506991
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246930519721
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930523075
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930525243
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930527396
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930529549
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246930532201
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930539096
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930547785
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930547941
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930555276
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930558054
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930560722
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246930565595
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246930567015
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246930580556
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930584331
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246930584862
