what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246918612417
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918627820
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918631283
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918631548
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918640705
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246918657818
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918667210
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918690047
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246918697371
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918700624
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918704820
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918704898
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918712293
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246918902231
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918903416
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246918903557
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246918914430
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246918916552
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246918928501
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246918929468
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246918930467
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246918953290
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246918954101
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246918978848
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246919009096
