what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246926910392
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246926957302
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246926985943
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246926987940
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246926999031
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246927120389
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246927180651
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1246927191322
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246927192445
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1246927194707
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246927503773
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927507345
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927510481
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927512837
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927516753
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1246927518267
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927524601
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927539236
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1246927540203
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1246927547473
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927547800
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927551856
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927553355
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927556600
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246927556756
