what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837425142
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837428434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837432162
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837432303
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837441007
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837442567
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837442848
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837444876
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837456342
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837457466
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837457606
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837459852
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837461818
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837461974
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837468276
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837471677
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837471864
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837475343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837478806
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837478994
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837481661
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837483455
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837483611
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1246837486170
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1246837487121
